course_of_action	attack_pattern
#257:34	#188:8
#286:71	#186:11
#3692:63	#3210:12
#3659:153	#3191:2
#3660:15	#3204:1
#287:4	#202:3
#3658:221	#3193:2
#269:49	#179:4
#252:24	#204:7
#262:1	#196:15
#254:41	#179:10
#3658:65	#3191:2
#3661:34	#3212:4
#3658:183	#3181:7
#3660:76	#3204:1
#3661:180	#3191:2
#3659:58	#3204:1
#3659:103	#3205:12
#3660:87	#3194:6
#277:33	#184:7
#284:51	#171:4
#3659:184	#3191:2
#3662:57	#3194:6
#282:8	#205:13
#3660:41	#3204:1
#266:69	#170:10
#3660:189	#3212:4
#3660:208	#3204:1
#3660:163	#3205:12
#3659:220	#3193:2
#3662:66	#3191:2
#256:80	#196:13
#287:11	#189:13
#271:72	#199:7
#262:24	#179:6
#3659:112	#3191:2
#256:80	#208:7
#3668:70	#3205:12
#256:91	#195:5
#3662:14	#3205:12
#256:80	#193:9
#259:39	#178:14
#287:9	#206:1
#282:8	#197:2
#3658:176	#3194:6
#254:41	#174:15
#3661:154	#3191:2
#3660:217	#3183:3
#3675:111	#3205:12
#266:75	#182:11
#266:47	#204:4
#3661:211	#3210:12
#3660:126	#3193:2
#278:99	#201:12
#284:51	#191:4
#3681:128	#3197:8
#254:40	#179:5
#3660:148	#3191:2
#3659:123	#3194:7
#274:40	#192:1
#3661:156	#3205:12
#3679:89	#3194:6
#279:12	#200:1
#256:80	#174:7
#3662:89	#3191:2
#276:77	#190:12
#3659:16	#3208:4
#3659:73	#3210:12
#3660:4	#3204:1
#256:80	#183:14
#274:78	#206:14
#3661:126	#3191:2
#271:72	#204:3
#3663:9	#3212:4
#3661:205	#3204:1
#3659:27	#3204:1
#280:93	#189:0
#269:49	#181:10
#3662:95	#3206:8
#3658:102	#3206:8
#272:12	#207:5
#272:11	#174:8
#272:23	#195:8
#3658:189	#3191:2
#3660:140	#3216:4
#3660:83	#3191:2
#284:90	#195:5
#3662:72	#3191:2
#3658:214	#3207:4
#274:29	#202:1
#3660:220	#3206:8
#278:99	#181:3
#267:36	#172:0
#254:47	#169:0
#3661:50	#3204:1
#3661:120	#3191:2
#3659:115	#3194:6
#274:78	#189:3
